PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
LaMelo Ball,OffScreen,Offensive,0.478,36,0.023,0.952,0.368,0.095,0.048,0.095,0.048,0.381,0.447,0.6,0.6,0.2,0.5,0.3
P.J. Washington,OffScreen,Offensive,0.363,73,0.04,0.913,0.386,0.022,0.043,0.022,0.022,0.37,0.466,0.6,0.6,0.2,0.6,0.4
Kelly Oubre Jr.,OffScreen,Offensive,0.322,48,0.096,0.892,0.369,0.097,0.032,0.097,0.032,0.398,0.429,1.9,1.7,0.6,1.8,1.1
Terry Rozier,OffScreen,Offensive,0.252,64,0.09,0.85,0.36,0.047,0.063,0.047,0.008,0.362,0.425,2.0,1.7,0.6,1.8,1.1
Gordon Hayward,OffScreen,Offensive,0.189,50,0.09,0.791,0.375,0.134,0.164,0.119,0.015,0.388,0.417,1.3,1.1,0.4,1.0,0.6
Bryce McGowens,OffScreen,Offensive,0.062,46,0.046,0.615,0.231,0.077,0.0,0.077,0.077,0.231,0.269,0.3,0.2,0.1,0.3,0.2
Svi Mykhailiuk,OffScreen,Offensive,0.057,19,0.112,0.591,0.263,0.091,0.045,0.091,0.0,0.318,0.263,1.2,0.7,0.3,1.0,0.7
Jalen McDaniels,OffScreen,Offensive,0.04,56,0.026,0.563,0.2,0.125,0.25,0.125,0.0,0.25,0.25,0.3,0.2,0.0,0.2,0.1
