PLAYER_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Mason Plumlee,Postup,Offensive,0.743,56,0.101,1.083,0.59,0.3,0.1,0.25,0.05,0.58,0.59,1.1,1.2,0.4,0.7,0.3
Gordon Hayward,Postup,Offensive,0.497,50,0.028,0.952,0.583,0.19,0.286,0.095,0.048,0.48,0.583,0.4,0.4,0.1,0.2,0.1
Mark Williams,Postup,Offensive,0.479,44,0.114,0.947,0.452,0.158,0.053,0.105,0.026,0.5,0.452,0.9,0.8,0.3,0.7,0.4
P.J. Washington,Postup,Offensive,0.455,73,0.059,0.942,0.483,0.145,0.087,0.13,0.072,0.46,0.483,0.9,0.9,0.4,0.8,0.4
Nick Richards,Postup,Offensive,0.06,65,0.07,0.677,0.346,0.097,0.097,0.097,0.032,0.35,0.346,0.5,0.3,0.1,0.4,0.3
