PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Walker Kessler,UTA,Cut,Offensive,0.552,74,0.289,1.331,0.752,0.127,0.076,0.115,0.025,0.694,0.752,2.1,2.8,1.3,1.7,0.4
Joel Embiid,PHI,Cut,Offensive,0.548,66,0.055,1.327,0.68,0.25,0.077,0.25,0.048,0.673,0.68,1.6,2.1,0.8,1.1,0.4
Julius Randle,NYK,Cut,Offensive,0.544,77,0.04,1.324,0.648,0.338,0.095,0.324,0.162,0.649,0.648,1.0,1.3,0.5,0.7,0.2
Keegan Murray,SAC,Cut,Offensive,0.541,80,0.099,1.322,0.662,0.138,0.057,0.138,0.046,0.655,0.662,1.1,1.4,0.6,0.9,0.3
Paul Reed,PHI,Cut,Offensive,0.533,69,0.229,1.317,0.692,0.111,0.095,0.095,0.032,0.651,0.692,0.9,1.2,0.5,0.8,0.2
Domantas Sabonis,SAC,Cut,Offensive,0.53,79,0.216,1.316,0.696,0.204,0.092,0.197,0.034,0.677,0.696,3.7,4.9,1.9,2.7,0.8
Nic Claxton,BKN,Cut,Offensive,0.519,76,0.307,1.31,0.694,0.136,0.054,0.136,0.041,0.669,0.694,3.2,4.2,1.9,2.7,0.8
Xavier Tillman,MEM,Cut,Offensive,0.522,61,0.256,1.31,0.697,0.07,0.05,0.07,0.01,0.67,0.697,1.6,2.1,1.0,1.5,0.4
Naz Reid,MIN,Cut,Offensive,0.517,69,0.098,1.31,0.661,0.155,0.028,0.155,0.056,0.676,0.661,1.0,1.3,0.6,0.9,0.3
Klay Thompson,GSW,Cut,Offensive,0.508,69,0.062,1.303,0.623,0.191,0.034,0.202,0.011,0.663,0.623,1.3,1.7,0.6,1.0,0.4
Harrison Barnes,SAC,Cut,Offensive,0.506,82,0.072,1.303,0.685,0.224,0.092,0.224,0.026,0.671,0.685,0.9,1.2,0.5,0.7,0.2
Jalen Duren,DET,Cut,Offensive,0.499,67,0.25,1.3,0.69,0.157,0.064,0.157,0.029,0.671,0.69,2.1,2.7,1.2,1.7,0.5
Jonas Valanciunas,NOP,Cut,Offensive,0.483,79,0.144,1.29,0.659,0.135,0.071,0.129,0.019,0.652,0.659,2.0,2.5,1.1,1.6,0.5
Draymond Green,GSW,Cut,Offensive,0.472,73,0.183,1.286,0.679,0.12,0.06,0.113,0.023,0.654,0.679,1.8,2.3,1.0,1.5,0.5
Kristaps Porzingis,WAS,Cut,Offensive,0.457,65,0.09,1.275,0.604,0.25,0.05,0.242,0.1,0.625,0.604,1.8,2.4,0.9,1.5,0.6
Caleb Martin,MIA,Cut,Offensive,0.461,71,0.102,1.275,0.667,0.159,0.087,0.13,0.029,0.652,0.667,1.0,1.2,0.5,0.8,0.3
Keita Bates-Diop,SAS,Cut,Offensive,0.453,67,0.139,1.272,0.677,0.173,0.123,0.173,0.062,0.63,0.677,1.2,1.5,0.6,0.9,0.3
Deandre Ayton,PHX,Cut,Offensive,0.445,67,0.183,1.269,0.642,0.109,0.06,0.104,0.03,0.627,0.642,3.0,3.8,1.7,2.6,0.9
Brandon Clarke,MEM,Cut,Offensive,0.442,56,0.268,1.268,0.667,0.146,0.033,0.146,0.033,0.634,0.667,2.2,2.8,1.3,1.9,0.6
Drew Eubanks,POR,Cut,Offensive,0.439,78,0.321,1.265,0.659,0.088,0.054,0.088,0.02,0.633,0.659,1.9,2.4,1.1,1.7,0.6
Ivica Zubac,LAC,Cut,Offensive,0.434,76,0.27,1.26,0.66,0.175,0.06,0.175,0.03,0.655,0.66,2.6,3.3,1.4,2.1,0.7
Kevon Looney,GSW,Cut,Offensive,0.431,82,0.428,1.259,0.644,0.184,0.038,0.179,0.042,0.66,0.644,2.6,3.3,1.4,2.1,0.8
