PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Grayson Allen,MIL,Handoff,Offensive,0.343,72,0.138,0.849,0.38,0.097,0.161,0.097,0.022,0.366,0.465,1.3,1.1,0.4,1.0,0.6
Dillon Brooks,MEM,Handoff,Offensive,0.329,73,0.088,0.842,0.362,0.059,0.04,0.059,0.03,0.366,0.415,1.4,1.2,0.5,1.3,0.8
Shaedon Sharpe,POR,Handoff,Offensive,0.325,80,0.089,0.841,0.349,0.0,0.087,0.0,0.0,0.319,0.46,0.9,0.7,0.3,0.8,0.5
Damion Lee,PHX,Handoff,Offensive,0.318,74,0.106,0.836,0.476,0.066,0.262,0.049,0.016,0.377,0.536,0.8,0.7,0.3,0.6,0.3
Eric Gordon,HOU,Handoff,Offensive,0.307,47,0.107,0.831,0.358,0.123,0.108,0.123,0.046,0.369,0.425,1.4,1.1,0.4,1.1,0.7
Kyrie Irving,BKN,Handoff,Offensive,0.311,40,0.079,0.831,0.355,0.091,0.117,0.091,0.013,0.364,0.427,1.9,1.6,0.6,1.6,1.0
Kyle Lowry,MIA,Handoff,Offensive,0.301,55,0.098,0.825,0.327,0.063,0.127,0.063,0.016,0.317,0.442,1.1,0.9,0.3,0.9,0.6
Donte DiVincenzo,GSW,Handoff,Offensive,0.301,72,0.092,0.825,0.333,0.063,0.127,0.063,0.0,0.333,0.451,0.9,0.7,0.2,0.7,0.5
De'Andre Hunter,ATL,Handoff,Offensive,0.296,67,0.057,0.825,0.396,0.053,0.088,0.07,0.0,0.386,0.427,0.9,0.7,0.3,0.7,0.4
Fred VanVleet,TOR,Handoff,Offensive,0.279,69,0.047,0.813,0.345,0.078,0.094,0.063,0.031,0.344,0.4,0.9,0.8,0.3,0.8,0.5
Kyle Kuzma,WAS,Handoff,Offensive,0.275,64,0.063,0.811,0.386,0.111,0.111,0.111,0.011,0.4,0.414,1.4,1.1,0.4,1.1,0.7
Joe Harris,BKN,Handoff,Offensive,0.271,74,0.114,0.804,0.333,0.018,0.125,0.018,0.0,0.286,0.469,0.8,0.6,0.2,0.6,0.4
Brandon Ingram,NOP,Handoff,Offensive,0.239,45,0.075,0.771,0.433,0.036,0.157,0.036,0.0,0.386,0.448,1.8,1.4,0.6,1.5,0.8
Malik Beasley,UTA,Handoff,Offensive,0.221,55,0.081,0.767,0.309,0.017,0.083,0.017,0.017,0.283,0.409,1.1,0.8,0.3,1.0,0.7
Malaki Branham,SAS,Handoff,Offensive,0.207,66,0.091,0.754,0.351,0.046,0.077,0.046,0.0,0.338,0.395,1.0,0.7,0.3,0.9,0.6
Max Strus,MIA,Handoff,Offensive,0.168,80,0.129,0.722,0.267,0.043,0.078,0.043,0.0,0.278,0.351,1.4,1.0,0.3,1.3,0.9
Michael Porter Jr.,DEN,Handoff,Offensive,0.125,63,0.078,0.671,0.273,0.041,0.055,0.041,0.0,0.288,0.326,1.2,0.8,0.3,1.0,0.8
