PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Jayson Tatum,BOS,OffScreen,Offensive,0.52,74,0.075,0.98,0.408,0.112,0.099,0.112,0.039,0.408,0.484,2.1,2.0,0.7,1.7,1.0
Bogdan Bogdanovic,ATL,OffScreen,Offensive,0.515,54,0.138,0.98,0.429,0.02,0.051,0.02,0.0,0.418,0.505,1.8,1.8,0.7,1.7,1.0
Keegan Murray,SAC,OffScreen,Offensive,0.511,80,0.043,0.974,0.361,0.0,0.053,0.0,0.0,0.342,0.514,0.5,0.5,0.2,0.5,0.3
Simone Fontecchio,UTA,OffScreen,Offensive,0.507,52,0.171,0.968,0.4,0.079,0.063,0.079,0.016,0.413,0.473,1.2,1.2,0.4,1.1,0.6
AJ Griffin,ATL,OffScreen,Offensive,0.493,72,0.156,0.957,0.425,0.032,0.032,0.022,0.0,0.419,0.489,1.3,1.2,0.5,1.2,0.7
Michael Porter Jr.,DEN,OffScreen,Offensive,0.489,63,0.121,0.956,0.396,0.027,0.044,0.027,0.009,0.389,0.486,1.8,1.7,0.7,1.7,1.0
Anfernee Simons,POR,OffScreen,Offensive,0.478,62,0.067,0.952,0.385,0.012,0.06,0.012,0.0,0.369,0.5,1.4,1.3,0.5,1.3,0.8
Dillon Brooks,MEM,OffScreen,Offensive,0.469,73,0.071,0.951,0.394,0.073,0.073,0.073,0.012,0.402,0.493,1.1,1.1,0.4,1.0,0.6
Anthony Davis,LAL,OffScreen,Offensive,0.469,56,0.032,0.951,0.433,0.22,0.049,0.22,0.0,0.537,0.467,0.7,0.7,0.2,0.5,0.3
Cedi Osman,CLE,OffScreen,Offensive,0.463,77,0.064,0.95,0.433,0.1,0.15,0.05,0.0,0.425,0.533,0.5,0.5,0.2,0.4,0.2
Fred VanVleet,TOR,OffScreen,Offensive,0.458,69,0.041,0.946,0.352,0.0,0.036,0.0,0.0,0.339,0.491,0.8,0.8,0.3,0.8,0.5
Doug McDermott,SAS,OffScreen,Offensive,0.454,64,0.147,0.944,0.375,0.079,0.022,0.079,0.0,0.404,0.463,1.4,1.3,0.5,1.3,0.8
Jamal Murray,DEN,OffScreen,Offensive,0.449,65,0.055,0.943,0.367,0.057,0.086,0.043,0.0,0.371,0.483,1.1,1.0,0.3,0.9,0.6
Ochai Agbaji,UTA,OffScreen,Offensive,0.445,59,0.146,0.94,0.339,0.119,0.045,0.119,0.0,0.403,0.411,1.1,1.1,0.3,0.9,0.6
Norman Powell,LAC,OffScreen,Offensive,0.438,60,0.068,0.938,0.429,0.125,0.109,0.109,0.0,0.453,0.48,1.1,1.0,0.4,0.8,0.5
Bradley Beal,WAS,OffScreen,Offensive,0.432,50,0.095,0.934,0.488,0.075,0.151,0.066,0.0,0.453,0.512,2.1,2.0,0.8,1.6,0.8
Devonte' Graham,NOP,OffScreen,Offensive,0.405,53,0.145,0.927,0.306,0.098,0.049,0.073,0.024,0.341,0.458,0.8,0.7,0.2,0.7,0.5
Paul George,LAC,OffScreen,Offensive,0.401,56,0.082,0.925,0.366,0.075,0.075,0.065,0.019,0.374,0.457,1.9,1.8,0.6,1.7,1.1
Jaylen Brown,BOS,OffScreen,Offensive,0.383,67,0.098,0.923,0.41,0.054,0.101,0.054,0.012,0.393,0.497,2.5,2.3,0.9,2.1,1.3
Lonnie Walker IV,LAL,OffScreen,Offensive,0.379,56,0.06,0.919,0.4,0.081,0.108,0.081,0.0,0.405,0.467,0.7,0.6,0.2,0.5,0.3
Saddiq Bey,DET,OffScreen,Offensive,0.37,52,0.063,0.915,0.333,0.106,0.064,0.106,0.0,0.383,0.436,0.9,0.8,0.3,0.8,0.5
